alert_id,alert_type,product_name,brand,category,severity,title,message,product_url,action_url,action_label,detected_at,expires_at,source,data_source,confidence
a17810a3-864,buyback_surge,iPhone 17 Pro Max 512GB SIMフリー,,,medium,買取急騰: iPhone 17 Pro Max 512GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
9291a0f4-15e,buyback_surge,iPhone 17 Pro Max 256GB SIMフリー,,,medium,買取急騰: iPhone 17 Pro Max 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
b07aaf86-35f,buyback_surge,iPhone 17 Pro 512GB SIMフリー,,,medium,買取急騰: iPhone 17 Pro 512GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
a581b040-ab0,buyback_surge,iPhone 17 Pro 256GB SIMフリー,,,medium,買取急騰: iPhone 17 Pro 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
e31d2898-321,buyback_surge,PlayStation 5 Pro,,,medium,買取急騰: PlayStation 5 Pro,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
ab543d22-cd8,buyback_surge,Nintendo Switch 2,,,medium,買取急騰: Nintendo Switch 2,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
b98c7fe9-d04,buyback_drop,Nintendo Switch 2,,,medium,買取急落: Nintendo Switch 2,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
4bb47741-dda,buyback_surge,Nintendo Switch 2,,,medium,買取急騰: Nintendo Switch 2,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
7772faae-ef1,buyback_drop,MacBook Air M4 13インチ,,,medium,買取急落: MacBook Air M4 13インチ,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
73248e5f-e4c,buyback_drop,MacBook Air M4 13インチ,,,medium,買取急落: MacBook Air M4 13インチ,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
5cc6833d-6da,buyback_drop,Mac mini M4,,,medium,買取急落: Mac mini M4,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
fc1724a9-e1f,buyback_drop,iPhone 17 Pro Max 512GB SIMフリー,,,medium,買取急落: iPhone 17 Pro Max 512GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
64ae6e33-dda,buyback_drop,iPhone 17 Pro Max 256GB SIMフリー,,,medium,買取急落: iPhone 17 Pro Max 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
9fc58297-499,buyback_drop,iPhone 17 Pro 512GB SIMフリー,,,medium,買取急落: iPhone 17 Pro 512GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
caeb2e74-1fc,buyback_drop,iPhone 17 Pro 256GB SIMフリー,,,medium,買取急落: iPhone 17 Pro 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
32e830e6-f57,buyback_drop,iPhone 17 256GB SIMフリー,,,medium,買取急落: iPhone 17 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
8af42c23-93d,buyback_drop,iPhone 17 256GB SIMフリー,,,medium,買取急落: iPhone 17 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
90f37fb4-c29,buyback_drop,iPhone 16 Pro 256GB SIMフリー,,,medium,買取急落: iPhone 16 Pro 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
40117b8a-008,buyback_drop,iPhone 16 Pro 256GB SIMフリー,,,medium,買取急落: iPhone 16 Pro 256GB SIMフリー,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
2ca05679-a9e,buyback_drop,iPad Pro M4 11インチ,,,medium,買取急落: iPad Pro M4 11インチ,,,,,2026-05-29 19:37,,buyback_db,auto_generated,medium
